"","Name","Height","Weight","Average_Height","Average_Weight","Year"
"164","Predrag Drobnjak",83,"270",79.2982456140351,222.558823529412,1997
"165","Alain Digbeu",78,"211",79.2982456140351,222.558823529412,1997
"166","Chris Crawford",81,"235",79.2982456140351,222.558823529412,1997
"167","DeJuan Wheat",72,"165",79.2982456140351,222.558823529412,1997
"168","C.J Bruton",74,"171",79.2982456140351,222.558823529412,1997
"169","Paul Rogers",84,"240",79.2982456140351,222.558823529412,1997
"170","Mark Blount",84,"230",79.2982456140351,222.558823529412,1997
"171","Ben Pepper",83,"250",79.2982456140351,222.558823529412,1997
"172","Nate Erdmann",77,"198",79.2982456140351,222.558823529412,1997
"173","Roberto Duenas",86,"311",79.2982456140351,222.558823529412,1997
"174","Michael Olowokandi",84,"269",79.1034482758621,225.435897435897,1998
"175","Mike Bibby",73,"190",79.1034482758621,225.435897435897,1998
"176","Raef LaFrentz",83,"240",79.1034482758621,225.435897435897,1998
"177","Antawn Jamison",80,"223",79.1034482758621,225.435897435897,1998
"178","Vince Carter",79,"215",79.1034482758621,225.435897435897,1998
"179","Robert Traylor",80,"284",79.1034482758621,225.435897435897,1998
"180","Jason Williams",73,"190",79.1034482758621,225.435897435897,1998
"181","Larry Hughes",77,"184",79.1034482758621,225.435897435897,1998
"182","Dirk Nowitzki",83,"237",79.1034482758621,225.435897435897,1998
"183","Paul Pierce",78,"230",79.1034482758621,225.435897435897,1998
"184","Bonzi Wells",77,"210",79.1034482758621,225.435897435897,1998
"185","Michael Doleac",83,"262",79.1034482758621,225.435897435897,1998
"186","Keon Clark",83,"220",79.1034482758621,225.435897435897,1998
"187","Michael Dickerson",77,"190",79.1034482758621,225.435897435897,1998
"188","Matt Harpring",79,"231",79.1034482758621,225.435897435897,1998
"189","Bryce Drew",74,"185",79.1034482758621,225.435897435897,1998
"190","Radoslav Nesterovic",84,"248",79.1034482758621,225.435897435897,1998
"191","Mirsad Turkcan",80,"244",79.1034482758621,225.435897435897,1998
"192","Pat Garrity",81,"238",79.1034482758621,225.435897435897,1998
"193","Roshown McLeod",80,"221",79.1034482758621,225.435897435897,1998
"194","Ricky Davis",78,"195",79.1034482758621,225.435897435897,1998
"195","Brian Skinner",81,"255",79.1034482758621,225.435897435897,1998
"196","Tyronn Lue",72,"175",79.1034482758621,225.435897435897,1998
"197","Felipe Lopez",77,"199",79.1034482758621,225.435897435897,1998
"198","Al Harrington",81,"230",79.1034482758621,225.435897435897,1998
"199","Sam Jacobson",76,"215",79.1034482758621,225.435897435897,1998
"200","Vladimir Stepania",84,"236",79.1034482758621,225.435897435897,1998
"201","Corey Benjamin",78,"200",79.1034482758621,225.435897435897,1998
"202","Nazr Mohammed",82,"221",79.1034482758621,225.435897435897,1998
"203","Ansu Sesay",80,"223",79.1034482758621,225.435897435897,1998
"204","Ruben Patterson",77,"224",79.1034482758621,225.435897435897,1998
"205","Rashard Lewis",82,"215",79.1034482758621,225.435897435897,1998
"206","Jelani McCoy",82,"245",79.1034482758621,225.435897435897,1998
"207","Shammond Williams",73,"201",79.1034482758621,225.435897435897,1998
"208","Bruno Sundov",86,"220",79.1034482758621,225.435897435897,1998
"209","Jerome James",84,"300",79.1034482758621,225.435897435897,1998
"210","Casey Shaw",83,"260",79.1034482758621,225.435897435897,1998
"211","DeMarco Johnson",81,"245",79.1034482758621,225.435897435897,1998
"212","Rafer Alston",74,"171",79.1034482758621,225.435897435897,1998
"213","Korleone Young",79,"213",79.1034482758621,225.435897435897,1998
"214","Cuttino Mobley",76,"190",79.1034482758621,225.435897435897,1998
"215","Miles Simon",75,"202",79.1034482758621,225.435897435897,1998
"216","Jahidi White",81,"290",79.1034482758621,225.435897435897,1998
"217","Sean Marks",82,"250",79.1034482758621,225.435897435897,1998
"218","Toby Bailey",78,"213",79.1034482758621,225.435897435897,1998
"219","Andrae Patterson",81,"238",79.1034482758621,225.435897435897,1998
"220","Tyson Wheeler",70,"165",79.1034482758621,225.435897435897,1998
"221","Ryan Stack",83,"215",79.1034482758621,225.435897435897,1998
"222","Cory Carr",75,"210",79.1034482758621,225.435897435897,1998
"223","Andrew Betts",85,"257",79.1034482758621,225.435897435897,1998
"224","Corey Brewer",74,"189",79.1034482758621,225.435897435897,1998
"225","Derrick Dial",76,"184",79.1034482758621,225.435897435897,1998
"226","Greg Buckner",76,"210",79.1034482758621,225.435897435897,1998
"227","Tremaine Fowlkes",79,"208",79.1034482758621,225.435897435897,1998
"228","Ryan Bowen",79,"215",79.1034482758621,225.435897435897,1998
"229","J.R. Henderson",80,"226",79.1034482758621,225.435897435897,1998
"230","Torraye Braggs",79,"238",79.1034482758621,225.435897435897,1998
"231","Maceo Baston",81,"215",79.1034482758621,225.435897435897,1998
"232","Elton Brand",80,"275",79.1896551724138,224.65,1999
"233","Steve Francis",75,"195",79.1896551724138,224.65,1999
"234","Baron Davis",75,"209",79.1896551724138,224.65,1999
"235","Lamar Odom",82,"220",79.1896551724138,224.65,1999
"236","Jonathan Bender",83,"202",79.1896551724138,224.65,1999
"237","Wally Szczerbiak",79,"244",79.1896551724138,224.65,1999
"238","Richard Hamilton",78,"185",79.1896551724138,224.65,1999
"239","Andre Miller",74,"200",79.1896551724138,224.65,1999
